2020-12-25,-0.03
2020-12-28,-0.22
2020-12-29,0.04
2020-12-30,-0.07
2020-12-31,0.5
2021-01-04,-1.12
2021-01-05,-0.59
2021-01-06,-0.37
2021-01-07,-0.31
2021-01-08,0.32
2021-01-11,-0.21
2021-01-12,0.08
2021-01-13,-0.34
2021-01-15,0.09
2021-01-18,-0.52
2021-01-19,0.5
2021-01-20,-0.13
2021-01-21,-0.1
2021-01-22,-0.73
2021-01-25,0.42
2021-01-26,-0.53
2021-01-27,-0.44
2021-01-28,0.58
2021-01-29,0.06
2021-02-01,-0.34
2021-02-02,-0.59
2021-02-03,0.12
2021-02-04,0.0
2021-02-05,0.33
2021-02-08,-0.25
2021-02-09,0.17
2021-02-10,0.43
2021-02-11,-0.02
2021-02-12,-0.27
2021-02-15,0.39
2021-02-16,0.31
2021-02-17,-0.14
2021-02-18,0.62
2021-02-19,-0.19
2021-02-22,0.02
2021-02-23,-0.03
2021-02-24,-0.02
2021-02-25,-0.07
2021-02-26,-0.17
2021-03-01,-0.31
2021-03-02,0.13
2021-03-03,0.29
2021-03-04,0.64
2021-03-05,0.57
2021-03-08,0.15
2021-03-09,0.01
2021-03-10,0.19
2021-03-11,0.47
2021-03-12,0.13
2021-03-15,-0.02
2021-03-16,-0.56
2021-03-17,0.11
2021-03-18,0.35
2021-03-19,-0.22
2021-03-22,1.16
2021-03-23,1.12
2021-03-24,1.62
2021-03-25,0.05
2021-03-26,0.07
2021-03-29,0.11
2021-03-30,0.11
2021-03-31,-0.14
2021-04-01,0.67
2021-04-02,0.25
2021-04-05,0.3
2021-04-06,0.48
2021-04-07,-0.19
2021-04-08,-0.43
2021-04-12,-0.38
2021-04-13,-0.21
2021-04-14,-0.26
2021-04-15,-0.3
2021-04-16,-0.77
2021-04-19,-0.4
2021-04-20,-0.39
2021-04-21,0.3
2021-04-22,0.53
2021-04-23,0.49
2021-04-26,0.04
2021-04-27,0.03
2021-04-28,0.19
2021-04-29,0.68
2021-04-30,0.44
2021-05-03,0.63
2021-05-04,0.55
2021-05-05,-0.18
2021-05-06,0.43
2021-05-07,-0.22
2021-05-10,0.69
2021-05-11,0.84
2021-05-17,0.41
2021-05-18,-0.15
2021-05-19,0.13
2021-05-20,0.22
2021-05-21,0.3
2021-05-24,-0.03
2021-05-25,-0.39
2021-05-26,-0.14
2021-05-27,0.21
2021-05-28,0.5
2021-05-31,-0.6
2021-06-01,0.08
2021-06-02,-0.37
2021-06-03,-0.04
2021-06-04,-0.04
2021-06-07,0.08
2021-06-08,-0.12
2021-06-09,0.03
2021-06-10,0.13
2021-06-11,0.03
2021-06-14,0.08
2021-06-15,-0.33
2021-06-16,-0.3
2021-06-17,-0.16
2021-06-18,-0.06
2021-06-21,0.02
2021-06-22,0.01
2021-06-23,-0.17
2021-06-24,-0.2
2021-06-25,0.1
2021-06-28,-0.11
2021-06-29,-0.42
2021-06-30,-0.28
2021-07-01,-0.19
2021-07-02,0.04
2021-07-05,0.0
2021-07-06,0.16
2021-07-07,0.13
2021-07-08,0.22
2021-07-09,-0.21
2021-07-12,-0.05
2021-07-13,-0.02
2021-07-14,-0.2
2021-07-15,-0.14
2021-07-16,0.54
2021-07-19,0.32
2021-07-22,-0.06
2021-07-23,0.0
2021-07-26,-0.67
2021-07-27,0.31
2021-07-28,0.14
2021-07-29,0.24
2021-07-30,0.26
2021-08-02,-0.12
2021-08-03,-0.09
2021-08-04,-0.21
2021-08-05,0.26
2021-08-06,0.09
2021-08-09,0.14
2021-08-11,-0.37
2021-08-12,0.0
2021-08-16,0.24
2021-08-17,0.05
2021-08-18,-0.12
2021-08-19,0.25
2021-08-20,0.14
2021-08-23,-0.29
2021-08-24,0.14
2021-08-25,0.0
2021-08-26,0.07
2021-08-27,0.43
2021-08-30,0.05
2021-08-31,0.02
2021-09-01,-0.09
2021-09-02,-0.14
2021-09-03,0.14
2021-09-06,-0.34
2021-09-07,-0.32
2021-09-08,-0.15
2022-01-03,-0.981
2022-01-04,-0.237
2022-01-05,0.219
2022-01-06,-0.199
2022-01-07,0.333
2022-01-10,-0.125
2022-01-11,0.237
2022-01-12,0.51
2022-01-13,0.672
2022-01-14,0.341
2022-01-17,-0.194
2022-01-18,-0.031
2022-01-19,-99.001
2022-01-20,-0.168
2022-01-21,0.023
2022-01-24,0.452
2022-01-25,-0.194
2022-01-26,0.343
2022-01-27,0.071
2022-01-28,-0.248
2022-01-31,-0.13
2022-02-01,0.286
2022-02-02,0.059
2022-02-03,-0.334
2022-02-04,-0.014
2022-02-07,-0.039
2022-02-08,0.075
2022-02-09,0.264
2022-02-10,0.049
2022-02-11,0.1
2022-02-14,-0.08
2022-02-15,0.056
2022-02-16,0.385
2022-02-17,0.206
2022-02-18,-0.196
2022-02-21,0.026
2022-02-22,-0.324
2022-02-23,-0.303
2022-02-24,-0.563
2022-02-25,0.043
2022-02-28,0.128
2022-03-01,-0.182
2022-03-02,0.916
2022-03-03,-0.019
2022-03-04,-0.155
2022-03-07,-0.026
2022-03-08,-0.161
2022-03-09,-0.448
2022-03-10,0.174
2022-03-11,0.003
2022-03-14,0.707
2022-03-15,0.237
2022-03-16,-0.226
2022-03-17,0.292
2022-03-18,-0.369
2022-03-21,-0.459
2022-03-22,-0.011
2022-03-23,-0.06
2022-03-24,0.196
2022-03-25,0.327
2022-03-28,-0.857
2022-03-29,0.107
2022-03-30,0.206
2022-03-31,0.219
2022-04-01,-0.263
2022-04-04,0.048
2022-04-05,0.259
2022-04-06,0.209
2022-04-07,0.34
2022-04-08,-0.009
2022-04-11,0.3
2022-04-12,0.209
2022-04-13,0.574
2022-04-14,0.51
2022-04-15,-0.176
2022-04-18,-0.226
2022-04-19,-0.047
2022-04-20,0.05
2022-04-21,0.033
2022-04-22,-0.176
2022-04-25,0.065
2022-04-26,0.092
2022-04-27,0.081
2022-04-28,-0.041
2022-04-29,0.238
2022-05-04,0.627
2022-05-05,-0.35
2022-05-06,-0.036
2022-05-09,0.068
2022-05-10,0.329
2022-05-11,-0.449
2022-05-12,0.175
2022-05-13,0.517
2022-05-16,-0.209
2022-05-17,-0.334
2022-05-18,0.36
2022-05-19,0.14
2022-05-20,-0.005
2022-05-23,0.062
2022-05-24,0.173
2022-05-25,0.408
2022-05-26,-0.054
2022-05-27,-0.075
2022-05-30,0.256
2022-05-31,0.055
2022-06-01,0.068
2022-06-02,-0.164
2022-06-03,-0.385
2022-06-06,-0.013
2022-06-07,-0.23
2022-06-08,0.212
2022-06-09,0.046
2022-06-10,0.091
2022-06-13,0.252
2022-06-14,0.237
2022-06-15,0.451
2022-06-16,0.849
2022-06-17,-0.307
2022-06-20,-0.039
2022-06-21,0.099
2022-06-22,1.081
2022-06-23,0.235
2022-06-24,-0.262
2022-06-27,-0.152
2022-06-28,-0.131
2022-06-29,-0.433
2022-06-30,-0.017
2022-07-01,0.106
2022-07-04,0.28
2022-07-05,-0.276
2022-07-06,0.265
